kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
cimma.1.sm_75.ptx 341 : 256 1280 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 82 : 256 1280 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 80 : 256 2048 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 79 : 256 1792 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 335 : 128 896 0 0 0 128 8 0 0 
cimma.1.sm_75.ptx 78 : 256 2304 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 334 : 128 3328 0 16 8 0 0 0 0 
cimma.1.sm_75.ptx 77 : 256 2560 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 333 : 128 1152 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 76 : 256 2304 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 332 : 128 1024 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 75 : 256 2304 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 331 : 128 896 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 74 : 256 2048 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 330 : 128 1152 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 73 : 256 1792 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 329 : 128 768 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 72 : 256 2304 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 328 : 128 896 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 71 : 256 2304 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 327 : 128 1152 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 70 : 256 1792 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 326 : 128 1152 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 69 : 256 2304 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 325 : 128 1152 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 68 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 226 : 256 2560 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 225 : 256 2304 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 224 : 256 1792 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 47 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 223 : 256 2304 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 46 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 222 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 302 : 128 640 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 45 : 256 2304 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 221 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 301 : 256 640 0 0 0 0 0 0 8 
cimma.1.sm_75.ptx 44 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 220 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 300 : 256 1792 0 32 8 0 0 0 0 
cimma.1.sm_75.ptx 43 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 219 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 299 : 256 54528 0 0 0 128 8 0 0 
cimma.1.sm_75.ptx 42 : 256 768 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 298 : 256 1280 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 41 : 256 768 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 217 : 256 0 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 40 : 256 768 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 216 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 296 : 256 17408 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 39 : 256 768 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 38 : 256 768 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 324 : 128 768 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 67 : 256 1792 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 294 : 256 1280 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 37 : 256 768 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 291 : 128 640 0 16 8 0 0 0 0 
cimma.1.sm_75.ptx 66 : 256 2304 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 227 : 256 2304 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 50 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 228 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 51 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 48 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 305 : 128 27136 0 0 0 64 8 0 0 
cimma.1.sm_75.ptx 229 : 256 2304 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 49 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 306 : 128 640 0 16 8 0 0 0 0 
cimma.1.sm_75.ptx 230 : 256 2560 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 53 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 231 : 256 2304 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 55 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 52 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 309 : 256 1280 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 56 : 256 0 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 313 : 256 1280 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 314 : 256 2304 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 58 : 256 1280 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 315 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 63 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 60 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 317 : 256 2560 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 321 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 64 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 61 : 256 0 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 318 : 256 0 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 322 : 256 640 0 0 0 0 0 0 8 
cimma.1.sm_75.ptx 65 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 232 : 256 2304 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 233 : 256 2304 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 234 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 235 : 256 2304 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 238 : 256 54656 0 0 0 128 8 0 0 
cimma.1.sm_75.ptx 239 : 256 1792 0 32 8 0 0 0 0 
cimma.1.sm_75.ptx 240 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 241 : 256 640 0 0 0 0 0 0 8 
cimma.1.sm_75.ptx 243 : 128 27200 0 0 0 64 8 0 0 
cimma.1.sm_75.ptx 244 : 128 640 0 16 8 0 0 0 0 
cimma.1.sm_75.ptx 247 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 248 : 256 1536 0 0 0 0 0 0 0 
cimma.1.sm_75.ptx 249 : 256 1536 0 0 0 0 0 0 0 
